,행정동,총생활인구수
245,화곡2동,310.9798167
246,화곡3동,512.9913583
247,화곡4동,450.8907917
248,화곡6동,553.39145
249,화곡8동,813.0654958
250,가양1동,1354.774829
251,가양2동,250.0186917
252,가양3동,287.858775
253,발산1동,473.7643875
254,공항동,1052.032525
255,방화1동,682.1596125
256,방화2동,987.949825
257,방화3동,376.4493
258,화곡1동,1699.099287
259,우장산동,588.0028
260,신도림동,940.7401292
261,구로1동,472.7485083
262,구로3동,5897.231925
263,구로4동,6666.839125
264,구로5동,4200.718463
265,고척1동,777.4769833
266,고척2동,628.0673792
267,개봉2동,728.518925
268,개봉3동,612.8733667
269,오류1동,1924.472971
270,수궁동,1008.628004
271,가리봉동,5469.779988
272,구로2동,9120.439408
273,개봉1동,1715.415167
274,오류2동,2519.241371
275,가산동,5132.335967
276,독산1동,2688.448175
277,독산2동,2139.324671
278,독산3동,3378.128954
279,독산4동,2053.081796
280,시흥1동,2244.070812
281,시흥2동,202.8748958
282,시흥3동,300.6761542
283,시흥4동,703.076825
284,시흥5동,552.8372833
285,여의동,2779.870237
286,당산1동,938.7203542
287,당산2동,1253.636292
288,양평1동,672.6376333
289,양평2동,1076.692863
290,신길1동,2051.518717
291,신길3동,1829.744146
292,신길4동,1273.342792
293,신길5동,962.164275
294,신길6동,1666.124383
295,신길7동,495.4548542
296,대림1동,4538.414679
297,대림2동,12158.5301
298,대림3동,9187.047087
299,영등포본동,3077.886504
300,영등포동,2420.793137
301,도림동,2855.904033
302,문래동,1297.917146
303,노량진2동,1025.873962
304,상도1동,2075.921258
305,상도2동,528.4525708
306,상도3동,514.1043625
307,상도4동,461.7580333
308,사당1동,912.862375
309,사당3동,325.08425
310,사당4동,320.8355333
311,사당5동,209.9182458
312,대방동,1245.159021
313,신대방1동,2170.333392
314,신대방2동,791.5963083
315,흑석동,3813.234875
316,노량진1동,710.4157625
317,사당2동,946.9742458
318,보라매동,675.6437875
319,청림동,171.4653417
320,행운동,913.2292958
321,낙성대동,1823.451437
322,중앙동,848.8362958
323,인헌동,758.0515375
324,남현동,753.1311167
325,서원동,1143.583329
326,신원동,1384.865271
,신사동,2991.574829
327,서림동,855.6489083
328,신림동,1653.286067
329,난향동,303.7689958
330,조원동,3383.100775
331,대학동,1558.7028
332,은천동,1140.55325
333,성현동,386.9987292
334,청룡동,2353.470633
335,난곡동,536.2430792
336,삼성동,337.5098542
337,미성동,695.6411583
338,서초1동,696.7603
339,서초2동,1464.838092
340,서초3동,1642.898238
341,서초4동,2104.259267
342,잠원동,853.1368708
343,반포본동,149.0566167
344,반포1동,1192.754996
345,반포2동,477.3402583
346,반포3동,537.849575
347,반포4동,1805.903971
348,방배본동,553.3201
349,방배1동,404.9721083
350,방배2동,537.1782458
351,방배3동,399.0462
352,방배4동,785.8696667
353,양재1동,1387.058125
354,양재2동,1452.258317
355,내곡동,486.8582042
,신사동,1510.5312
356,논현1동,1866.055517
357,논현2동,1169.609821
358,삼성1동,1881.982562
359,삼성2동,944.3874875
360,대치1동,379.1421708
361,대치4동,835.3200708
362,역삼1동,3693.350946
363,역삼2동,998.8793833
364,도곡1동,1192.232617
365,도곡2동,813.1063167
366,개포1동,252.1210208
367,개포4동,421.4563667
368,일원본동,310.279175
369,일원1동,385.0446708
370,일원2동,321.4880292
371,수서동,343.42225
372,세곡동,669.512475
373,압구정동,1249.953712
374,청담동,1536.879658
375,대치2동,828.7289
376,개포2동,610.8645833
377,풍납1동,1270.410987
378,풍납2동,524.5738333
379,거여1동,153.2548208
380,거여2동,169.0864364
381,마천1동,237.9187583
382,마천2동,317.5945458
383,방이1동,356.6659333
384,방이2동,1259.943683
385,오륜동,391.5966042
386,오금동,519.8690958
387,송파1동,835.9369875
388,송파2동,299.6092375
389,석촌동,1141.969112
390,삼전동,811.2969417
391,가락본동,955.7158417
392,가락1동,487.8067375
393,가락2동,350.9892125
394,문정1동,419.4661958
395,문정2동,734.952525
396,잠실본동,1257.439729
397,잠실4동,376.812575
398,잠실6동,1038.413925
399,잠실7동,199.9795542
400,잠실2동,464.1548667
401,잠실3동,1138.245813
402,장지동,486.6946208
403,위례동,437.827925
404,명일1동,226.716525
405,명일2동,126.6660042
406,고덕1동,307.9000333
407,고덕2동,298.9047542
408,암사2동,195.641075
409,암사3동,134.0091667
410,천호1동,450.9187833
411,천호3동,936.7006042
412,성내1동,396.7949542
413,성내2동,1442.118212
414,성내3동,628.8628958
415,둔촌1동,78.80559583
416,둔촌2동,594.7813833
417,암사1동,456.6300917
418,천호2동,1775.944883
419,길동,970.2698
420,강일동,483.7621833
421,상일동,626.3918625
