,행정동,수
353,방배4동,9
354,양재1동,11
355,양재2동,16
356,내곡동,0
357,신사동강,15
358,논현1동,15
359,논현2동,16
360,삼성1동,25
361,삼성2동,10
362,대치1동,9
363,대치4동,13
364,역삼1동,50
365,역삼2동,12
366,도곡1동,9
367,도곡2동,22
368,개포1동,1
369,개포4동,4
370,일원본동,6
371,일원1동,1
372,일원2동,3
373,수서동,3
374,세곡동,1
375,압구정동,25
376,청담동,20
377,대치2동,24
378,개포2동,3
379,풍납1동,0
380,풍납2동,5
381,거여1동,0
382,거여2동,3
383,마천1동,0
384,마천2동,2
385,방이1동,2
386,방이2동,5
387,오륜동,6
388,오금동,5
389,송파1동,4
390,송파2동,1
391,석촌동,7
392,삼전동,2
393,가락본동,9
394,가락1동,8
395,가락2동,6
396,문정1동,1
397,문정2동,12
398,잠실본동,8
399,잠실4동,3
400,잠실6동,19
401,잠실7동,4
402,잠실2동,4
403,잠실3동,9
404,장지동,4
405,위례동,1
406,명일1동,6
407,명일2동,5
408,고덕1동,0
409,고덕2동,1
410,암사2동,3
411,암사3동,1
412,천호1동,1
413,천호3동,3
414,성내1동,4
415,성내2동,3
416,성내3동,5
417,둔촌1동,0
418,둔촌2동,4
419,암사1동,1
420,천호2동,3
421,길동,8
422,강일동,1
423,상일동,4
