dong,종사자수,기초생활수급자 인원_비율,65세 이상 인구 수_비율,단장기 외국인 체류자 수_비율,우체국 수_비율,편의점 수_비율,약국 24시간_비율,ATM 수_비율,응급실 수_비율,은행 수_합계_비율,인구 합계,면적(km^2),y1,y2,y3
종로구 부암동,1521.5859030837005,0.01522533496,0.1819935039,0.05441428982000001,0.44052863439999995,4.405286343999999,0.0,2.2026431719999997,0.0,0.8810572687,9852,2.27,2.1647577094224997,0.11644867425859999,0.054
종로구 평창동,388.6133032694476,0.007471640489,0.1865183246,0.0294080027,0.0,1.6910935740000002,0.0,0.4509582864,0.0,0.3382187148,18336,8.87,0.5956595265486,0.11439448077307501,0.192
종로구 무악동,4566.666666666667,0.018598512119999997,0.1679865611,0.01142101432,0.0,11.11111111,0.0,5.555555556,2.777777778,5.555555556,8334,0.36,6.004166666818,0.10556797327714999,0.018
종로구 가회동,23735.185185185186,0.01643578305,0.2061516788,0.060009432970000005,0.0,12.96296296,0.0,1.8518518519999998,0.0,7.407407407000001,4259,0.54,4.585648147665999,0.13150041449232502,0.029
종로구 창신1동,19054.83870967742,0.07959326788,0.2163394109,0.19219003559999998,0.0,32.25806452,0.0,12.90322581,0.0,16.12903226,5704,0.31,15.6225806481575,0.16956750466885,0.011
종로구 창신2동,8523.076923076922,0.04925030097,0.19185728359999998,0.1752921486,0.0,15.38461538,0.0,3.8461538460000004,0.0,7.692307692000001,9137,0.26,6.156730768326501,0.14386870764915,0.023
종로구 창신3동,3891.304347826087,0.03330898466,0.1777940102,0.03201400961,0.0,13.04347826,0.0,4.347826087,0.0,4.347826087,6845,0.23,5.41413043467225,0.117902832837675,0.022
종로구 숭인2동,19674.285714285714,0.04181459566,0.1634122288,0.1330305227,0.0,68.57142857,0.0,5.714285714,0.0,11.42857143,10140,0.35,16.6671428570205,0.12107118651695001,0.007
종로구 청운효자동,2200.7782101167318,0.0147299509,0.1764320786,0.03935591585,0.0,5.058365759,0.0,0.7782101167000001,0.0,2.33463035,12220,2.57,1.714396887145025,0.11170829077827499,0.065
중구 필동,19652.631578947367,0.01902522445,0.1938862762,0.4099100631,0.0,25.43859649,0.0,9.649122807000001,0.0,8.771929825,4678,1.14,11.270833333205251,0.1557646294588,0.014
중구 신당5동,10402.564102564102,0.03914988814,0.1689970172,0.08212830327000001,0.0,20.51282051,0.0,2.564102564,0.0,5.128205128,10728,0.39,5.791666666106,0.11902669076942499,0.021
중구 중림동,15687.5,0.04867827208000001,0.1676337847,0.04005646962,0.0,29.16666667,0.0,6.25,0.0,8.333333332999999,12408,0.48,9.894270833818,0.11764259424430001,0.012
중구 다산동,19101.960784313724,0.03135888502,0.1920557491,0.04550781707,0.0,31.37254902,0.0,5.882352941000001,0.0,7.843137255,14350,0.51,9.95735294116075,0.126814268472275,0.013
중구 청구동,12997.058823529409,0.051043245980000006,0.196303516,0.024546264109999997,0.0,14.70588235,0.0,5.882352941000001,0.0,0.0,13851,0.34,5.71764705824075,0.133868865187125,0.023
중구 동화동,15557.692307692307,0.017891130569999997,0.17805481539999998,0.043490153930000004,0.0,34.61538462,0.0,11.53846154,0.0,3.8461538460000004,10508,0.26,12.899038463131,0.11404915513622499,0.009
용산구 용산2가동,1056.1224489795916,0.05327527101,0.18984527010000002,0.1621664663,0.0,10.20408163,0.0,2.040816327,0.0,0.5102040816,10793,1.96,2.92040816308585,0.14284827979315,0.049
용산구 남영동,17077.310924369747,0.1615168539,0.1979060266,0.1485362593,0.0,26.05042017,0.0,6.722689076,0.0,6.722689076,7832,1.19,9.339075630848,0.18156178480715002,0.019
용산구 용문동,6389.285714285714,0.030738556119999996,0.1764559276,0.03129813976,0.0,32.14285714,3.571428571,3.571428571,0.0,3.571428571,12037,0.28,7.972321427779249,0.11622001950540001,0.015
용산구 이촌1동,1263.2867132867136,0.001813001813,0.1613571614,0.05138435391,0.3496503497,4.545454545,0.0,1.7482517480000002,0.0,2.7972027969999997,27027,2.86,2.291433566183025,0.09972133171745001,0.044
용산구 이촌2동,681.9672131147541,0.01930593391,0.210470212,0.02470709167,0.0,5.7377049179999995,0.0,0.8196721311,0.0,0.8196721311,8443,1.22,1.560040983565425,0.131877078379875,0.085
용산구 이태원1동,12291.228070175439,0.027598784189999996,0.16924012160000002,0.2996253982,0.0,43.85964912,0.0,7.01754386,0.0,10.52631579,8225,0.57,13.160526315624999,0.13444615852265002,0.01
용산구 한남동,5953.156146179403,0.024198111150000003,0.16150933539999998,0.1451958495,0.3322259136,8.637873754,0.0,3.3222591360000004,0.3322259136,3.986710963,22977,3.01,4.0730066442852,0.11529424816709999,0.028
성동구 응봉동,1803.508771929825,0.01253213368,0.1635604113,0.008166534704,0.0,8.771929825,0.0,5.263157895,0.0,0.0,15560,0.57,4.39429824583375,0.10071569646005002,0.023
성동구 금호1가동,4565.217391304348,0.049540215,0.1700556923,0.01789355843,0.0,17.39130435,0.0,8.695652174,0.0,4.347826087,15442,0.46,8.567391304762499,0.11740391977157501,0.014
성동구 금호4가동,2411.904761904762,0.02865605841,0.1640834883,0.026180405730000002,0.0,8.333333332999999,0.0,5.952380952,0.0,5.952380952,14517,0.84,5.845535713944501,0.10783897037257499,0.018
성동구 성수2가1동,15721.36752136752,0.047509113,0.17503037670000002,0.12282344419999999,0.0,19.65811966,0.0,5.982905982999999,0.0,3.4188034189999996,16460,1.17,7.24166666706625,0.12884282902705002,0.018
