,arsid,stid,stnm,x,y
19384,35576,232000291,월드메르디앙아파트,126.7740266164,37.60640318
19385,35804,232000857,월드메르디앙아파트,126.77485569870001,37.6065667182
19386,15566,114900041,현대아파트.월드메르디앙아파트,126.8699130421,37.5390523984
19387,15593,114900070,현대아파트.월드메르디앙아파트,126.8703583513,37.5387122738
19388,14189,113000098,경성중고.홍대부속여중고입구,126.9158070869,37.560551806
19389,14190,113000099,경성중고.홍대부속여중고입구,126.9166140242,37.5596512854
19390,14191,113000100,경성중고.홍대부속여중고입구,126.9172809899,37.5594093604
19391,14275,113000184,경성중고.홍대부속여중고입구,126.9156529372,37.5597317011
19392,14192,113000101,서울도시가스마포사옥,126.9192505173,37.557311175900004
19393,14193,113000102,서울도시가스마포사옥,126.9182029073,37.5578790449
19394,14181,113000090,서서울농협홍대역점,126.91986000000001,37.556405
19395,1142,100000047,상명대입구.세검정교회,126.9592405649,37.5996163318
19396,1286,100000188,상명대입구.세검정교회,126.9597921957,37.5994435122
19397,1278,100000180,상명대정문,126.95502071780001,37.6016197182
19398,1135,100000040,상명대입구.석파랑,126.958570225,37.5994133537
19399,1287,100000189,상명대입구.석파랑,126.95819414040001,37.5995718125
19400,14317,113000214,강변한신코아,126.9439560209,37.5372216381
19401,14912,113000504,공항철도.홍대입구역,126.9252620559,37.5577221581
19402,14224,113000133,홍대입구역,126.9231281293,37.5566642297
19403,14225,113000134,홍대입구역,126.92260119040002,37.5557705985
19404,14016,113000414,홍대입구역,126.9245894295,37.557476903200005
19405,14015,113000422,홍대입구역,126.9231959983,37.5563734241
19406,14863,113900248,홍대입구역,126.92352746379999,37.5570247446
19407,14497,113900300,홍대입구역,126.9236679158,37.5573254742
19408,14498,113900301,홍대입구역,126.92353617469999,37.5576365747
19409,14096,113000505,홍대입구역(가상),126.92186437209999,37.5552260552
19410,14097,113000506,홍대입구역(가상),126.92592523649999,37.5586515499
19411,14284,113000190,홍대입구역사거리,126.9220782642,37.5548395731
19412,14832,113900119,홍대입구역사거리,126.92097761059999,37.5545259524
19413,78306,277102199,홍대입구역사거리(경유),126.9212717873,37.5551670093
19414,14182,113000091,동교로사거리,126.92094762159999,37.5558462446
19415,14943,113900192,동교로사거리,126.9210453635,37.5560597174
19416,14853,113900240,동교로사거리,126.919871426,37.5556580917
19417,14872,113900241,동교로사거리,126.91976141,37.555868873
19418,14511,113900245,동교로사거리,126.9210303052,37.5557913332
19419,14192,113000101,서울도시가스마포사옥,126.9192505173,37.557311175900004
19420,14193,113000102,서울도시가스마포사옥,126.9182029073,37.5578790449
19421,14189,113000098,경성중고.홍대부속여중고입구,126.9158070869,37.560551806
19422,14190,113000099,경성중고.홍대부속여중고입구,126.9166140242,37.5596512854
19423,14191,113000100,경성중고.홍대부속여중고입구,126.9172809899,37.5594093604
19424,14275,113000184,경성중고.홍대부속여중고입구,126.9156529372,37.5597317011
19425,12003,111000003,수색교,126.8884797855,37.585784938
19426,12004,111000004,수색교,126.88981924790001,37.5848769709
19427,12316,111000226,수색교,126.8887747343,37.5854166708
19428,14341,113000434,수색교,126.8839598515,37.5870817539
19429,14340,113000438,수색교,126.8841306167,37.5872215904
19430,12317,111000227,수색119안전센터,126.89242808959999,37.583469198
19431,12321,111000231,수색대림아파트,126.90020701610001,37.585871126
19432,12323,111000233,수색대림아파트,126.9002689854,37.5861018572
19433,12333,111000243,상신중학교앞,126.90607772979999,37.5906363957
19434,12334,111000244,상신중학교앞,126.9056010077,37.5906270045
19435,12331,111000241,미성아파트앞,126.9097381758,37.590157169099996
19436,12332,111000242,미성아파트앞,126.9101746617,37.5897240784
19437,20836,119900150,경성의원.새마을금고앞,126.9359804244,37.5127937149
19438,20729,119900190,경성의원.새마을금고앞,126.935954556,37.5126188873
19439,5512,104900056,구.새마을금고앞,127.08717092379999,37.561441727100004
19440,5246,104000153,군자새마을금고앞,127.07108775540001,37.5513566499
19441,8786,107900150,길음1동주민센터.길음중앙새마을금고앞,127.0197436999,37.609922941
19442,6535,105900013,새마을금고앞,127.0601637112,37.5977887402
19443,6543,105900014,새마을금고앞,127.0602362489,37.5978607902
19444,12329,111000239,새마을금고앞,126.91208593309999,37.5889064276
19445,12330,111000240,새마을금고앞,126.9123692391,37.5887219151
19446,12157,111000069,응암오거리,126.91655217690001,37.5907361763
19447,12162,111000074,응암오거리,126.916146787,37.590732284699996
19448,12419,111000324,응암오거리,126.91598584540002,37.5908592237
19449,12156,111000068,은평문화예술정보학교,126.91899004950001,37.5887897207
19450,12163,111000075,은평문화예술정보학교,126.9184803714,37.5888975005
19451,12155,111000067,응암초등학교,126.9211239608,37.5870793679
19452,12164,111000076,응암초등학교,126.9201905558,37.5875344205
19453,12876,111901134,응암초등학교,126.9212381918,37.589376423400005
19454,12883,111901141,응암초등학교,126.9212641517,37.5892405896
19455,13220,112000137,명지전문대.충암중고등학교,126.9234431529,37.5848125818
19456,13221,112000138,명지전문대.충암중고등학교,126.9240809439,37.5845093265
19457,13218,112000135,명지중고등학교,126.9255581481,37.5826738464
19458,13219,112000136,명지중고등학교,126.92579014399999,37.5827929363
19459,13196,112000113,명지대삼거리,126.9259970375,37.580819679099996
19460,13197,112000114,명지대삼거리,126.926363438,37.5812704533
19461,13194,112000111,명지대,126.92354859950001,37.5791366844
19462,13195,112000112,명지대,126.9243947079,37.5799130681
19463,0,228000191,명지대,127.1885257149,37.2241951375
19464,0,228000192,명지대,127.18842431610001,37.2241299704
19465,13191,112000108,명지대사거리,126.9206455392,37.5770712714
19466,0,228002972,명지대사거리(시외버스정류장),127.18870280040001,37.2363595374
19467,13231,112000148,명지대사거리국민은행앞,126.92256974809999,37.5775501272
